Year,TMAX,TMIN,PRCP,SNOW,SNWD
1956,,,4.1799,,
1957,28.9286,24.2043,7.6977,,
1958,30.8345,24.7275,7.8266,0.0,0.0
1959,29.459,22.1664,11.1559,0.0,0.0
1960,29.7508,23.4204,8.9261,0.0,0.0
1961,29.6574,23.7404,8.2038,0.0,0.0
1962,29.997,23.1567,10.8428,0.0,0.0
1963,30.3096,23.7547,8.8272,0.0,0.0
1964,30.103,22.5481,9.9154,0.0,0.0
1965,29.9047,22.3337,7.7484,0.0,0.0
1966,31.5644,23.8078,8.5239,0.0,0.0
1967,30.4421,21.8026,11.9514,0.0,0.0
1968,31.217,22.9987,8.4335,0.0,0.0
1969,30.8718,23.9933,13.568,0.0,0.0
1970,30.7335,23.2874,10.5446,0.0,0.0
1971,30.4419,22.0276,7.5286,0.0,0.0
1972,30.7358,22.3954,7.0375,0.0,0.0
1973,31.4031,22.6043,9.6659,0.0,0.0
1974,30.5611,27.1511,15.6933,0.0,0.0
1975,31.3767,27.2467,12.2619,0.0,0.0
1976,31.2533,24.049,6.4735,0.0,0.0
1977,31.0585,26.4594,9.0222,0.0,0.0
1978,31.6993,27.7444,13.8609,0.0,0.0
